MJD rate rate_err
60726.0022877662 5.294094 0.7784096
60726.0030285069 6.546159 2.277247
60732.8548799491 4.137639 0.8730664
60732.8556206898 5.468517 0.7975035
60732.8563614306 6.81549 0.8880523
60732.8571021713 6.859197 0.8941851
60732.857842912 5.833868 0.8226818
60732.8585836528 6.550788 0.8746724
60732.8593243935 5.717068 0.8133482
60732.8600651343 5.833086 0.8230432
60732.860805875 6.244266 0.848176
60732.8615466157 5.619675 1.586475
60735.2689538171 6.495337 1.002426
60735.2696945579 5.699967 0.9425304
60735.2704352986 5.86085 0.9628201
60735.2711760394 7.30477 1.059784
60735.2719167801 5.86744 0.9545734
60735.2726575208 5.148879 0.9085835
60735.2733982616 4.204609 0.8122143
60735.2741390023 6.491081 1.001769
60735.2748797431 5.572283 0.9285454
60735.2756204838 7.103233 1.042821
60735.2763612245 7.077281 1.040243
60735.2771019653 4.559121 0.9366423
60736.4993241875 4.729342 2.130664
60736.5000649282 4.85771 0.7937738
60736.500805669 5.806194 0.8636302
60736.5015464097 8.104244 1.014509
60736.5022871505 6.678594 0.926071
60736.5030278912 4.864061 0.8003241
60736.5037686319 6.473606 0.9132662
60736.5045093727 5.624496 0.860014
60736.5052501134 5.014894 0.8126884
60736.5059908542 5.46219 0.837342
60736.5067315949 6.875491 0.9442237
60736.5074723356 5.075833 0.8141134
60736.5082130764 3.682597 0.7060231
60736.5089538171 6.176936 0.8962491
60736.5096945579 5.36806 0.8327304
60736.5104352986 5.319376 0.9125293
60739.5600646551 6.699904 2.498784
60739.5608053958 4.531518 0.7905042
60739.5615461366 5.031072 0.8366144
60739.5622868773 6.702242 0.952363
60739.5630276181 6.564568 0.9412168
60739.5637683588 2.975223 0.6673894
60739.5645090995 4.269607 0.7759081
60739.5652498403 6.632863 0.9462976
60739.565990581 5.045285 0.8332614
60739.5667313218 6.903524 0.9666244
60739.5674720625 5.464624 0.8722946
60739.5682128032 5.669896 0.8793945
60739.568953544 4.091733 0.7637718
60739.5696942847 4.658531 0.8046148
60739.5704350255 3.636219 1.073953
60740.8119165069 3.528832 0.8066668
60740.8126572477 7.321871 0.9068005
60740.8133979884 4.701183 0.7351952
60740.8141387292 4.403072 0.7072743
60740.8148794699 6.153202 0.8335536
60740.8156202106 6.952838 0.8849787
60740.8163609514 4.972016 0.7532408
60740.8171016921 4.421054 0.7128007
60740.8178424329 5.897005 0.817966
60740.8185831736 5.005927 0.7596648
60740.8193239144 5.040575 0.7560091
60740.8200646551 5.652092 0.8031972
60740.8208053958 4.944208 0.7970022
60741.9852496354 4.567569 0.6531028
60741.9859903762 5.3061 0.6994771
60741.9867311169 4.848796 0.6792055
60741.9874718576 5.456063 0.7120778
60741.9882125984 4.58676 0.6539193
60741.9889533391 4.552941 0.6538221
60741.9896940799 4.007097 0.6095603
60741.9904348206 4.522598 0.6525851
60741.9911755613 5.445803 0.7128065
60741.9919163021 4.176347 0.6199469
60741.9926570428 4.642467 0.6609661
60741.9933977836 4.451254 0.6413863
60741.9941385243 4.959285 0.6859672
60741.994879265 5.62781 1.377543
60743.9459902384 4.130815 0.8194897
60743.9467309792 6.069755 0.7649753
60743.9474717199 4.03192 0.6329742
60743.9482124606 3.88396 0.6219405
60743.9489532014 5.400984 0.7249939
60743.9496939421 4.659815 1.155843
60744.9830272755 5.119164 1.484125
60744.9837680162 5.108673 0.8466359
60744.9845087569 5.350237 0.8635455
60744.9852494977 5.253638 0.8638265
60744.9859902384 6.72919 0.9503472
60744.9867309792 5.497297 0.876676
60744.9874717199 4.813272 0.8204121
60744.9882124606 4.343297 0.7878625
60744.9889532014 6.127461 0.9203567
60744.9896939421 4.364764 0.7804124
60744.9904346829 5.312795 0.8575855
60744.9911754236 7.496486 0.9987546
60744.9919161643 4.385452 1.101074
60745.6230272755 4.906857 0.7950402
60745.6237680162 5.750356 0.8114254
60745.6245087569 4.168235 0.7033005
60745.6252494977 3.282865 0.6333579
60745.6259902384 4.557966 0.7274255
60745.6267309792 5.283224 0.7844822
60745.6274717199 5.71608 0.8128073
60745.6282124606 6.035063 0.8291621
60745.6289532014 5.168378 0.7704321
60745.6296939421 4.133423 0.6930459
60745.6304346829 4.570793 0.7283911
60745.6311754236 3.953938 0.6833124
60745.6319161643 5.810583 0.8594445
60746.9326567002 4.501799 0.6824294
60746.933397441 4.953465 0.6981852
60746.9341381817 4.201948 0.6469745
60746.9348789224 4.940443 0.6980287
60746.9356196632 4.660428 0.6820958
60746.9363604039 4.957365 0.6991553
60746.9371011447 4.646053 1.015986
60747.1926567002 5.113229 1.77994
60747.193397441 3.679955 0.5638927
60747.1941381817 5.314594 0.6743403
60747.1948789224 4.596582 0.6223941
60747.1956196632 4.540892 0.6205905
60747.1963604039 4.08093 0.5885432
60747.1971011447 4.446025 0.6123449
60747.1978418854 4.121815 0.5983587
60747.1985826262 4.208444 0.5957627
60747.1993233669 4.311201 0.6046457
60747.2000641076 5.563276 0.6842338
60747.2008048484 3.959328 0.583176
60747.2015455891 4.908593 0.6468057
60747.2022863299 4.011723 0.7770054
60750.9674712419 4.665062 0.6883359
60750.9682119826 4.209507 0.6509603
60750.9689527234 4.515052 0.6680612
60750.9696934641 3.414381 0.5881566
60750.9704342049 4.526092 0.6723081
60750.9711749456 3.553039 0.6047485
60750.9719156863 4.186575 0.6424373
60750.9726564271 3.667461 0.6094547
60750.9733971678 5.954886 1.598807
60759.7615447685 3.500414 0.7582543
60759.7622855093 3.47169 0.5955635
60759.76302625 3.58625 0.6018444
60759.7637669907 3.687905 0.609415
60759.7645077315 2.653533 0.5247334
60759.7652484722 4.195666 0.6506617
60759.765989213 3.325126 0.5809492
60759.7667299537 3.188702 0.5716242
60759.7674706944 3.457982 0.5932118
60759.7682114352 3.270644 0.579825
60759.7689521759 3.302735 0.7750783
60793.0148757789 0.8648036 0.6465737
60793.0156165197 0.9627056 0.2466824
60799.0037642546 0.8927883 0.4236796
60799.0045049954 0.5038146 0.1450242
60799.0052457361 1.003649 0.3803994
60799.637097588 0.8327461 0.3137537
60799.6378383287 0.4286791 0.1395778
60799.6385790694 0.6397797 0.1531935
60799.6393198102 0.6285431 0.1496163
60799.6400605509 0.5317124 0.1391953
60799.6408012917 0.6063559 0.1462106
60799.9763568472 1.03468 0.3552922
60805.3526527268 0.221936 0.1172892
60805.3533934676 0.2306969 0.1200612
60805.3541342083 0.440373 0.150275
60805.9459860602 0.1548341 0.06432861
60805.9467268009 0.1501095 0.06348477
60805.9474675417 0.1697845 0.066475
60805.9482082824 0.305214 0.07748118
60805.9489490231 0.2672202 0.0727902
60805.9496897639 0.168461 0.06647155
60805.9504305046 0.2239161 0.07469504
60805.9511712454 0.1182748 0.05693044
60805.9519119861 0.09817981 0.05332552
60805.9526527268 0.3215733 0.1164225
60805.9533934676 0.3232109 0.1228428
60805.9541342083 0.310598 0.1163305
60805.9548749491 0.1997768 0.09998733
60805.9556156898 0.4320685 0.1351077
