MJD rate rate_err
60719.6650503322 7.859374 0.3763885
60719.6657910729 7.750465 0.3802485
60719.6665318137 8.036279 0.3813993
60719.6672725544 8.091059 0.3784155
60719.6680132951 8.179395 0.3809102
60719.6687540359 8.121496 0.3802543
60719.6694947766 8.321742 0.387186
60719.6702355174 8.777103 0.392435
60719.6709762581 8.617615 0.3879592
60719.6717169988 7.848094 0.3793112
60719.6724577396 8.518009 0.3883641
60719.6731984803 7.695788 0.3635065
60719.6739392211 7.783282 0.3709451
60719.6746799618 8.003086 0.3759215
60719.6754207025 9.030946 0.3978714
60719.6761614433 8.479486 0.9008045
60720.64282811 8.589095 0.6602339
60720.6435688507 8.223464 0.3868213
60720.6443095914 8.220898 0.3880059
60720.6450503322 8.439091 0.3952483
60720.6457910729 8.394176 0.3943824
60720.6465318137 8.269844 0.3877115
60720.6472725544 8.568338 0.39361
60720.6480132951 9.023528 0.4039294
60720.6487540359 8.354336 0.3886885
60720.6494947766 7.839429 0.3802542
60720.6502355174 7.91929 0.37966
60720.6509762581 8.44096 0.3923469
60720.6517169988 8.464758 0.3870472
60720.6524577396 7.664325 0.3792696
60720.6531984803 8.707217 0.3966881
60720.6539392211 8.180552 0.3921371
60720.6546799618 8.186413 0.386807
60720.6554207025 8.233196 0.393318
60721.1724575868 7.695712 0.4368938
60721.1731983275 7.278832 0.3647144
60721.1739390683 7.711052 0.3686316
60721.174679809 7.68024 0.3728939
60721.1754205498 7.995587 0.3789235
60721.1761612905 8.013856 0.3765941
60721.1769020312 8.079835 0.3810309
60721.177642772 7.598348 0.3745077
60721.1783835127 8.255938 1.217273
60721.2398649942 4.996924 1.812713
60721.240605735 7.297867 0.3638525
60721.2413464757 7.933009 0.3756145
60721.2420872164 7.640334 0.3759831
60721.2428279572 7.739486 0.3751572
60721.2435686979 7.697351 0.3791253
60721.2443094387 7.553977 0.3729084
60721.2450501794 7.822007 0.3767766
60721.2457909201 7.812469 0.3806804
60721.2465316609 7.310675 0.3673967
60721.2472724016 7.534001 0.3665587
60721.2480131424 7.92285 0.4246149
60722.7391242535 7.681738 0.5566183
60722.7398649942 7.596245 0.3677355
60722.740605735 7.498821 0.3683688
60722.7413464757 8.080509 0.3775889
60722.7420872164 7.04511 0.3567693
60722.7428279572 7.628627 0.3722215
60722.7435686979 7.691032 0.3697386
60722.7443094387 7.832006 0.3720074
60722.7450501794 7.751541 0.3732062
60722.7457909201 8.326242 0.388095
60722.7465316609 7.473223 0.3852303
60722.8065316609 7.858444 0.409033
60722.8072724016 7.362271 0.3619053
60722.8080131424 7.499352 0.3690013
60722.8087538831 6.905735 0.3522952
60722.8094946238 7.809537 0.3753566
60722.8102353646 7.771581 0.3700483
60722.8109761053 7.311137 0.3606731
60722.8117168461 7.209247 0.3582669
60722.8124575868 7.404873 3.20631
60723.2657907836 6.938816 0.3695857
60723.2665315243 6.443805 0.3511877
60723.267272265 6.739108 0.3520329
60723.2680130058 6.88352 0.3575052
60723.2687537465 7.264871 0.3666392
60723.2694944873 6.854514 0.3558304
60723.270235228 6.636111 0.3495153
60723.2709759687 6.809848 0.3523469
60723.2717167095 7.120782 0.3655916
60723.2724574502 8.083803 0.3829407
60723.273198191 6.297292 0.3430816
60723.2739389317 6.797996 0.3554576
60723.2746796725 6.536979 0.3456921
60723.2754204132 7.896477 0.6799867
60724.4991241169 5.753295 1.050404
60724.4998648576 6.866076 0.3475372
60724.5006055984 6.564427 0.3422749
60724.5013463391 7.129664 0.3575408
60724.5020870799 7.32666 0.3563347
60724.5028278206 7.438927 0.3633972
60724.5035685613 6.893103 0.3519063
60724.5043093021 7.399922 0.3619942
60724.5050500428 7.037095 0.3509097
60724.5057907836 7.671967 0.3668363
60724.5065315243 7.177825 0.3601405
60724.507272265 7.049916 0.3561426
60724.5080130058 6.548074 0.3409602
60724.5087537465 6.380141 0.3404349
60724.5094944873 7.078943 0.3563395
60724.510235228 7.128078 0.7815678
60725.9309757639 7.290033 0.5104309
60725.9317165046 7.223892 0.3651741
60725.9324572454 7.300089 0.3640648
60725.9331979861 6.982515 0.354178
60725.9339387268 6.664165 0.3516519
60725.9346794676 7.75261 0.3723119
60725.9354202083 6.821157 0.3544118
60725.9361609491 7.115773 0.3615516
60725.9369016898 7.292641 0.3647788
60725.9376424306 6.758939 0.3505007
60725.9383831713 7.031027 0.3552724
60725.939123912 6.960716 0.3578366
60725.9398646528 6.843756 0.3568654
60725.9406053935 6.462643 0.505233
60726.0035683565 5.776799 0.5247103
60726.0043090972 6.138209 0.5216313
60726.005049838 6.999997 0.5778399
60726.0057905787 6.377929 0.5441576
60726.0065313194 6.296533 0.5347905
60726.0072720602 6.274926 0.5271296
60726.0080128009 6.247453 0.5343387
60726.0087535417 6.411043 0.5494931
60726.0094942824 5.765231 0.512854
60726.0102350231 6.60567 0.5615194
60726.0109757639 6.68739 0.5839576
60726.0117165046 5.372841 0.5464093
60726.0124572454 6.146843 2.942671
60729.9791236389 5.262032 0.7511249
60729.9798643796 6.634662 0.3429098
60729.9806051204 6.768384 0.3486298
60729.9813458611 6.815617 0.348764
60729.9820866019 7.224314 0.3569869
60729.9828273426 7.37692 0.3585839
60729.9835680833 6.512478 0.3371062
60729.9843088241 6.793664 0.3456059
60729.9850495648 6.471694 0.3435675
60729.9857903056 6.873426 0.3470172
60729.9865310463 7.642576 0.3696339
60729.987271787 7.286273 0.3610008
60729.9880125278 6.755921 0.3477139
60729.9887532685 8.149923 0.9956735
60732.8502346134 6.75559 0.6052142
60732.8509753542 7.159328 0.3659724
60732.8517160949 6.907373 0.3669554
60732.8524568356 6.957685 0.3614568
60732.8531975764 6.437671 0.3480456
60732.8539383171 6.50532 0.3519833
60732.8546790579 5.437666 0.4114473
60735.2672714444 6.249744 1.62923
60735.2680121852 5.827181 0.3365593
60735.2687529259 5.327942 0.6732934
60735.3369010741 5.411575 0.3391816
60735.3376418148 4.901983 0.3170696
60735.3383825556 5.378144 0.3307602
60735.3391232963 5.152531 0.3235291
60735.339864037 5.245424 0.3321733
60735.3406047778 5.931316 0.3431182
60735.3413455185 5.164109 0.3247179
60735.3420862593 5.23677 0.3305574
60735.342827 5.497736 0.3345157
60735.3435677407 5.697435 0.3436645
60735.3443084815 5.484848 0.3334435
60735.3450492222 6.001077 0.351997
60736.4991232963 5.58836 0.4117416
60736.499864037 5.609162 1.198518
60738.7250490174 5.068872 0.4429125
60738.7257897581 5.829193 0.3395726
60738.7265304988 7.221036 0.3658644
60738.7272712396 6.207809 0.3440311
60738.7280119803 5.737294 0.3305314
60738.7287527211 6.190564 0.341683
60738.7294934618 6.17371 0.3418842
60738.7302342025 6.096287 0.3442622
60738.7309749433 5.623655 0.3284178
60738.731715684 6.960089 0.3641836
60738.7324564248 6.482917 0.3532358
60738.7331971655 5.63205 0.3280821
60738.7339379062 6.087788 0.3448714
60738.734678647 5.82857 0.340434
60738.7354193877 6.487606 0.3820786
60739.5598638322 5.545498 0.4372863
60739.5606045729 3.335622 1.094586
60740.8109748067 4.724225 0.4391046
60740.8117155475 5.681512 0.4016869
60741.9843080035 6.028072 0.3970889
60741.9850487442 4.736192 0.6584261
60742.7531968924 5.385396 0.3335439
60742.7539376331 5.64784 0.3206386
60742.7546783738 5.921728 0.3301501
60742.7554191146 5.593408 0.3196716
60742.7561598553 5.162229 0.307987
60742.7569005961 5.366663 0.3150517
60742.7576413368 5.412241 0.3173661
60742.7583820775 5.115809 0.3066841
60742.7591228183 6.146007 0.3366488
60742.759863559 5.453137 0.3174175
60742.7606042998 5.050157 0.3090402
60742.7613450405 5.005879 0.3971838
60743.9391226806 5.800776 0.3608513
60743.9398634213 6.428379 0.3471466
60743.940604162 5.989825 0.3282192
60743.9413449028 5.270056 0.3179306
60743.9420856435 5.715027 0.3245986
60743.9428263843 5.336109 0.3203541
60743.943567125 6.096211 0.340222
60743.9443078657 5.713939 0.3247867
60743.9450486065 4.839383 0.3127533
60743.9457893472 5.420151 0.3999809
60744.9813449028 5.286761 0.4055046
60744.9820856435 5.373011 0.3302266
60744.9828263843 6.169131 0.363694
60745.6213449028 5.505691 0.5385023
60745.6220856435 5.281781 0.3021763
60745.6228263843 4.546382 0.5000744
60746.9317150683 5.477507 0.3962049
60746.932455809 5.434284 0.5938662
60747.1917150683 4.87702 0.3278997
60747.192455809 5.190654 0.3133023
60747.1931965498 2.976768 0.8888574
60749.6687519687 3.509966 0.7541831
60749.6694927095 3.693904 0.7030096
60749.6702334502 3.248514 0.6436658
60749.670974191 4.035478 0.7578341
60749.6717149317 3.387675 0.662886
60749.6724556725 3.364065 0.6596771
60749.6731964132 3.76697 0.7168685
60749.6739371539 4.00237 0.7537865
60749.6746778947 3.444296 0.6770907
60749.6754186354 3.388446 0.6686658
60749.6761593762 3.339777 0.6506523
60749.6769001169 3.357704 0.6649488
60749.6776408576 4.944455 0.9229853
60749.6783815984 3.344648 0.6554558
60749.6791223391 8.555149 5.317537
60750.9665296099 4.87308 0.4333269
60750.9672703507 3.725798 0.4860089
60757.809492162 3.487033 0.3676571
60757.8102329028 2.916032 0.2906043
60757.8109736435 3.579599 0.3372746
60757.8117143843 3.421782 0.3297519
60757.812455125 3.670638 0.3413832
60758.9228253588 3.667914 0.5138719
60758.9235660995 4.086254 0.3316162
60758.9243068403 4.153474 0.319066
60758.925047581 3.603023 0.3042748
60758.9257883218 4.013497 0.3168301
60758.9265290625 4.171053 0.3249225
60758.9272698032 4.511812 0.4405591
60763.4724547153 2.954016 0.6050224
60763.473195456 3.039039 0.5620287
60763.4739361968 2.997917 0.4387333
60763.4746769375 2.803545 0.4085148
60763.4754176782 2.843985 0.4257144
60763.476158419 3.023479 0.4303344
60763.4768991597 2.589401 0.3888994
60763.4776399005 2.391718 0.3683626
60763.4783806412 2.563823 0.3895507
60763.4791213819 2.317284 0.3593851
60763.4798621227 2.304809 0.367871
60763.4806028634 2.404175 0.3770907
60763.4813436042 2.814382 0.4247282
60763.4820843449 2.385871 0.3929585
60763.4828250857 2.56423 0.4461925
60770.4931949769 2.300321 0.5474248
60770.4939357176 2.842577 0.2359489
60770.4946764583 2.90121 0.2402668
60770.4954171991 2.588842 0.2314621
60770.4961579398 2.611484 0.2280197
60770.4968986806 2.598676 0.2350421
60770.4976394213 2.772517 0.2396348
60770.498380162 2.837217 0.2434616
60770.4991209028 2.723445 0.2304881
60770.4998616435 3.238149 0.2518119
60770.5006023843 3.246182 0.2507936
60778.7620833194 1.914113 0.2474366
60778.7628240602 1.729807 0.2400987
60778.7635648009 1.616491 0.2395566
60778.7643055417 1.476828 0.2373697
60778.7650462824 1.743539 0.2484076
60778.7657870231 2.060667 0.2870836
60778.7665277639 1.708654 0.2614082
60778.7672685046 1.660149 0.2512676
60778.7680092454 2.098034 0.291818
60778.7687499861 1.606817 0.2545319
60778.7694907269 1.469922 0.2458264
60778.7702314676 1.519652 0.2445844
60778.7709722083 1.756477 0.2657407
60778.7717129491 1.605872 0.2542156
60778.7724536898 1.156941 0.211287
60778.7731944306 1.711052 0.260565
60778.7739351713 1.715398 0.2512925
60778.774675912 1.980521 0.2751978
60778.7754166528 1.783571 0.2664247
60778.7761573935 1.532082 0.2364466
60778.7768981343 1.762159 0.2522583
60778.777638875 1.766291 0.2493825
60778.7783796157 1.672861 0.2551377
60778.7791203565 1.971436 0.2761455
60778.9591203565 2.877727 0.4742997
60778.9598610972 2.174864 0.2154467
60778.960601838 2.438818 0.2209962
60778.9613425787 2.246567 0.2113024
60778.9620833194 2.023238 0.2040391
60778.9628240602 2.043563 0.2100627
60778.9635648009 2.251726 0.2127785
60778.9643055417 1.653121 0.1899149
60778.9650462824 2.070623 0.2092895
60778.9657870231 2.501701 0.2193126
60778.9665277639 2.296378 0.2175039
60778.9672685046 2.321235 0.2132348
60778.9680092454 1.989106 0.2010911
60778.9687499861 2.048573 0.2015426
60778.9694907268 2.074453 0.207151
60778.9702314676 2.30338 0.2148616
60778.9709722083 1.907809 0.2070886
60778.9717129491 1.897049 0.2008679
60778.9724536898 2.057063 0.2088717
60778.9731944306 2.084765 0.2139668
60778.9739351713 2.029877 0.2037025
60778.974675912 1.73371 0.3215569
60780.0717128125 0.6178787 0.1699513
60780.0724535532 0.9207302 0.1752464
60780.073194294 1.074882 0.1834437
60780.0739350347 0.7496268 0.176417
60780.0746757755 0.5669441 0.1522122
60780.0754165162 0.4514901 0.1448441
60780.0761572569 0.7260306 0.1638146
60780.0776387384 0.5849937 0.153736
60780.1368979977 0.3361224 0.132138
60780.1376387384 0.5021764 0.1445029
60780.1391202199 0.5189065 0.1375775
60780.1398609606 0.4895163 0.1331095
60780.1406017014 0.6323732 0.2184074
60780.2613424421 0.881664 0.2041629
60780.2635646644 0.7513076 0.2157912
60780.2650461458 0.6492744 0.2156868
60780.2657868866 0.391322 0.169141
60780.2665276273 0.6963464 0.2144097
60780.2672683681 0.6570589 0.1860158
60780.2680091088 0.6404084 0.2018341
60780.2687498495 0.6748579 0.2019628
60780.270231331 0.9514073 0.2462806
60780.2709720718 0.4193421 0.1790226
60780.2717128125 0.7385882 0.2304052
60780.2724535532 0.7942 0.259155
60780.3909720718 1.923652 0.3631486
60780.3917128125 1.422862 0.1961179
60780.3924535532 1.731192 0.2093538
60780.393194294 1.309219 0.186305
60780.3939350347 1.2218 0.1774858
60780.3946757755 1.232194 0.1865499
60780.3954165162 1.497416 0.1936724
60780.3961572569 1.280212 0.1936239
60780.3968979977 2.120566 0.2143282
60780.3976387384 1.055632 0.386623
60784.5620829097 1.572215 0.9773653
60784.5628236505 1.129456 0.3044141
60784.8776384653 1.153011 0.3204182
60784.878379206 1.503101 0.2043058
60784.8791199468 1.648407 0.1994025
60784.8798606875 1.330416 0.1885099
60784.8806014282 1.503025 0.1866797
60784.881342169 1.411393 0.1887125
60784.8820829097 1.509277 0.1971922
60784.8828236505 1.740702 0.2012913
60784.8835643912 1.160416 0.1759521
60784.8843051319 1.32571 0.1779214
60784.8850458727 1.565495 0.1970833
60784.8857866134 1.332293 0.1865381
60784.8865273542 1.478157 0.184272
60784.8872680949 1.368782 0.1950225
60784.8880088356 2.241516 0.4799579
60787.74726789 0.8502838 0.2684404
60787.7480086308 0.838043 0.2198992
60787.7487493715 0.994266 0.2411113
60787.7494901123 0.6003128 0.1923405
60787.750230853 0.7607319 0.2098768
60787.7509715937 0.801257 0.2117909
60787.7517123345 0.9906729 0.2310362
60787.7524530752 1.166353 0.2556423
60787.753193816 0.8710122 0.235541
60787.7539345567 0.5215483 0.1911443
60787.7546752975 1.127311 0.2397792
60787.7554160382 0.7816265 0.2217952
60787.7561567789 0.9845886 0.2200594
60787.7568975197 0.9224045 0.2218291
60787.7576382604 0.8582579 0.2132165
60787.7583790012 1.28292 0.2920433
60790.4813417593 0.7060513 0.1784458
60790.4820825 0.3963605 0.157109
60790.4828232407 0.3288307 0.1337366
60790.4835639815 0.3760068 0.1563184
60790.4843047222 0.7426471 0.1787517
60790.485045463 1.190439 0.3195689
60790.5339343518 0.5705238 0.2392076
60790.5346750926 0.9650916 0.2519719
60790.5354158333 1.039975 0.2349199
60790.5361565741 0.49484 0.2062543
60790.5368973148 0.8959238 0.2371712
60790.5376380556 0.4773748 0.1930903
60790.5383787963 1.021152 0.2310537
60790.539119537 0.9544895 0.3124571
60790.7420825 0.7411728 0.2022694
60790.7428232407 0.6331702 0.1519674
60790.7435639815 0.8825229 0.1711876
60790.7443047222 0.840481 0.1680202
60790.745045463 0.5896662 0.1479581
60790.7457862037 0.7368205 0.1506507
60790.7465269444 0.9559676 0.1752757
60790.7472676852 1.0134 0.1703431
60790.7480084259 1.07227 0.1742481
60790.7487491667 0.7929057 0.1544697
60790.7494899074 0.89166 0.1580532
60790.7502306481 0.8198995 0.1636209
60790.7509713889 0.942672 0.1609139
60790.7517121296 0.7993938 0.34163
60793.0161563692 0.7853822 0.7292276
60793.01689711 0.8019091 0.1483942
60793.0176378507 0.6662115 0.1501458
60793.0183785914 1.048416 0.1702231
60793.0191193322 1.010008 0.1758948
60793.0198600729 0.6979086 0.1452239
60793.0206008137 0.6537057 0.1472512
