obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound
000_7202630101,60718.681553055554,0.0007175925929914229,60718.68083546296,60718.68227064815,tbabs*po,173.01315307617188,181.01315307617188,196.11135925834952,181.13933604147155,0.5440665191074587,318.0,124.0,73.86289978027344,0.7865445017814636,1.2558156251907349,1.2209619283676147,1.3020458221435547,-9.208718299865723,-9.2160062789917,-9.20237922668457,1.5664209127426147,1.5319002866744995,1.6151599884033203,0.08474705368280411,0.08134344220161438,0.08917451649904251
001_7202630101,60718.745673425925,0.0011805555550381541,60718.74449287037,60718.74685398148,tbabs*po,225.1912841796875,233.1912841796875,244.8419037226317,233.4966276911379,1.7059945771188447,132.0,204.0,73.86764526367188,0.6200752854347229,1.2533466815948486,1.2276266813278198,1.291525959968567,-9.211944580078125,-9.216782569885254,-9.206393241882324,1.5850633382797241,1.5573066473007202,1.620600700378418,0.08569019287824631,0.08319457620382309,0.08960472047328949
002_7202630101,60718.810146805554,0.0010590277779556345,60718.80908777778,60718.811205833335,tbabs*po,194.346923828125,202.346923828125,215.07405802929333,202.57813770095737,1.1169363438397988,174.0,183.0,73.47541046142578,0.650538444519043,1.2563139200210571,1.2250018119812012,1.2908885478973389,-9.21205997467041,-9.217312812805176,-9.206757545471191,1.566020131111145,1.5336066484451294,1.5983312129974365,0.08409325033426285,0.08106765896081924,0.0873527005314827
003_7202630101,60718.873335462966,0.0024537037024856545,60718.87088175926,60718.87578916667,tbabs*po,375.3555603027344,383.3555603027344,395.8987540509354,383.5979845451586,2.2611780741128578,166.0,424.0,75.0235824584961,0.44585877656936646,1.275139331817627,1.2521758079528809,1.2978174686431885,-9.199657440185547,-9.20310115814209,-9.195762634277344,1.5688596963882446,1.5443021059036255,1.5895612239837646,0.08679737150669098,0.08451109379529953,0.08903481066226959
004_7202630101,60718.93904726852,0.0010358796280343086,60718.93801138889,60718.94008314815,tbabs*po,302.9033203125,310.9033203125,323.9333018006111,311.1172240558155,1.6111878740026595,188.0,179.0,75.69832611083984,0.6678645610809326,1.318864107131958,1.274586796760559,1.362752914428711,-9.201705932617188,-9.208334922790527,-9.195419311523438,1.655755877494812,1.6064116954803467,1.6941087245941162,0.09490080922842026,0.09039520472288132,0.09916544705629349
005_7202630102,60719.000962777776,0.001527777778392192,60718.999435,60719.002490555555,tbabs*po,337.531494140625,345.531494140625,357.35480237103,345.8234649435447,2.4458803923233696,138.0,264.0,74.29924011230469,0.5507211685180664,1.27812659740448,1.2469136714935303,1.3121309280395508,-9.207887649536133,-9.212631225585938,-9.202239036560059,1.5920932292938232,1.558085560798645,1.6260511875152588,0.08740236610174179,0.0838337242603302,0.09072381258010864
006_7202630102,60719.00370004629,0.001024305554892635,60719.00267574074,60719.00472435185,tbabs*po,286.544677734375,294.544677734375,307.31650513793585,294.77324916294646,1.6280947598544033,176.0,177.0,73.66101837158203,0.6618229150772095,1.2426865100860596,1.2082109451293945,1.2836906909942627,-9.214157104492188,-9.218976974487305,-9.206450462341309,1.548080325126648,1.508941650390625,1.5848283767700195,0.08201833814382553,0.07932457327842712,0.08575531095266342
007_7202630102,60719.06614796295,0.0007870370354794431,60719.06536092592,60719.06693499999,tbabs*po,176.4792022705078,184.4792022705078,196.01040996085328,184.7941629004291,1.3787437677383423,128.0,136.0,75.51470947265625,0.7605652809143066,1.304469108581543,1.2851762771606445,1.3519397974014282,-9.195892333984375,-9.201955795288086,-9.188647270202637,1.5945019721984863,1.5562306642532349,1.64005708694458,0.09017135947942734,0.0865233987569809,0.09502879530191422
008_7202630102,60719.068213935185,0.001093750001018634,60719.06712018519,60719.06930768519,tbabs*po,203.56146240234375,211.56146240234375,223.8870798622816,211.817872658754,1.29656982421875,157.0,189.0,72.78836059570312,0.6378458142280579,1.2195613384246826,1.1959141492843628,1.2642197608947754,-9.219941139221191,-9.225089073181152,-9.214132308959961,1.5536909103393555,1.5289995670318604,1.5975085496902466,0.08135906606912613,0.07915274798870087,0.08572530746459961
009_7202630102,60719.13168037037,0.0019791666672972497,60719.1297012037,60719.13365953704,tbabs*po,289.5130920410156,297.5130920410156,309.55563321740067,297.78895410998115,1.9829663838425728,146.0,342.0,75.53508758544922,0.4934006631374359,1.2786122560501099,1.2380505800247192,1.3029077053070068,-9.19516658782959,-9.2003173828125,-9.191582679748535,1.5634080171585083,1.5289311408996582,1.5840041637420654,0.08714205026626587,0.0833728164434433,0.08955331891775131
