obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound
000_00015082028,60735.27408596901,0.004364489112049341,60735.2697214799,60735.27845045812,tbabs*po,39.382999420166016,47.382999420166016,53.82667107074291,48.632999420166016,1.1934242248535156,33.0,754.1837158203125,0.7052987217903137,0.031887784600257874,1.3156232833862305,1.0909497737884521,1.5667951107025146,-9.206449508666992,-9.234967231750488,-9.174727439880371,1.377952218055725,1.2192370891571045,1.5432287454605103,0.06495922058820724,0.05198647081851959,0.08196862787008286
001_00015082030,60736.50624973737,0.005535081552807242,60736.50071465582,60736.511784818926,tbabs*po,40.48749542236328,48.48749542236328,54.93116707294018,49.73749542236328,1.2268938006776753,33.0,956.4620971679688,0.7585504055023193,0.028959903866052628,1.3089609146118164,1.1211835145950317,1.5117568969726562,-9.243743896484375,-9.268669128417969,-9.21643352508545,1.424098253250122,1.2921377420425415,1.5599117279052734,0.06278211623430252,0.05218854919075966,0.07594108581542969
002_00015082032,60739.56648337849,0.005029270119848661,60739.56145410837,60739.57151264861,tbabs*po,31.045551300048828,39.04555130004883,45.489222950625724,40.29555130004883,0.9407742818196615,33.0,869.0579223632812,0.6962794065475464,0.029714740812778473,1.550759196281433,1.3329007625579834,1.7872889041900635,-9.243757247924805,-9.273358345031738,-9.209775924682617,1.4999462366104126,1.3494329452514648,1.6553990840911865,0.06808843463659286,0.05523867532610893,0.08449320495128632
003_00015082033,60740.81759778687,0.0046246214587881695,60740.81297316541,60740.82222240833,tbabs*po,31.527965545654297,39.5279655456543,46.07831018455984,40.74008675777551,0.92729310428395,34.0,799.1345825195312,0.8444058895111084,0.033271003514528275,1.666891098022461,1.4482529163360596,1.9041391611099243,-9.216299057006836,-9.245132446289062,-9.183088302612305,1.5064527988433838,1.365968108177185,1.651180624961853,0.07302256673574448,0.05982927232980728,0.08967078477144241
004_00015082035,60741.990910394976,0.004913656182907289,60741.98599673879,60741.995824051155,tbabs*po,20.123071670532227,28.123071670532227,34.67341630943777,29.335192882653438,0.5918550491333008,34.0,849.0797729492188,0.9138616323471069,0.03353968262672424,1.4244427680969238,1.2190666198730469,1.646519422531128,-9.2962646484375,-9.320690155029297,-9.269109725952148,1.3896524906158447,1.2564655542373657,1.5270212888717651,0.05353134125471115,0.04426896944642067,0.06513871252536774
005_00015082037,60743.94888698215,0.0018209795707662124,60743.94706600258,60743.950707961725,tbabs*po,23.124601364135742,31.124601364135742,36.860550182076324,32.66306290259728,0.8564667171902127,27.0,314.6653137207031,0.8491570353507996,0.0536075159907341,1.5603375434875488,1.168525218963623,2.0052523612976074,-9.280420303344727,-9.31969928741455,-9.234426498413086,1.2882789373397827,1.0416224002838135,1.5461299419403076,0.04929652810096741,0.034618161618709564,0.07140330225229263
006_00015082036,60744.98867173591,0.004364489112049341,60744.9843072468,60744.99303622502,tbabs*po,17.172399520874023,25.172399520874023,31.61607117145092,26.422399520874023,0.5203757430567886,33.0,754.1837158203125,0.714175820350647,0.03227844834327698,1.1498053073883057,0.9408156871795654,1.3819867372512817,-9.258766174316406,-9.28406047821045,-9.233466148376465,1.169877529144287,1.017334222793579,1.3279588222503662,0.04465204477310181,0.03602670878171921,0.05579732358455658
007_00015082038,60745.62860087171,0.004725782790046651,60745.62387508892,60745.6333266545,tbabs*po,23.006765365600586,31.006765365600586,37.45043701617748,32.256765365600586,0.6971747080485026,33.0,816.6152954101562,0.7555157542228699,0.03144267946481705,1.0970462560653687,0.9140840172767639,1.2991403341293335,-9.323838233947754,-9.34873104095459,-9.29761028289795,1.3435088396072388,1.201097846031189,1.4908335208892822,0.04764013737440109,0.039157118648290634,0.05837799981236458
008_00015082039,60746.935826656394,0.0023701468635408673,60746.93345650953,60746.938196803254,tbabs*po,27.192214965820312,35.19221496582031,41.17824521168623,36.62078639439174,0.9376625850282866,29.0,409.5614013671875,0.8534225821495056,0.04700761288404465,1.365136742591858,1.0790022611618042,1.6913435459136963,-9.303918838500977,-9.340286254882812,-9.26024055480957,1.4291635751724243,1.2255158424377441,1.6434227228164673,0.05496537312865257,0.041409239172935486,0.07419075071811676
009_00015082040,60747.198752303084,0.004696879201219417,60747.19405542388,60747.203449182285,tbabs*po,34.34329605102539,42.34329605102539,48.67737180484983,43.63361863167055,1.0732280015945435,32.0,811.6207275390625,0.9445266723632812,0.03489309921860695,1.485234022140503,1.2798012495040894,1.7053669691085815,-9.317999839782715,-9.342940330505371,-9.290167808532715,1.4269628524780273,1.2904393672943115,1.5671203136444092,0.053081996738910675,0.04381386190652847,0.06464814394712448
010_00015082043,60750.97129855392,0.0030204754111764487,60750.96827807851,60750.97431902933,tbabs*po,39.97891616821289,47.97891616821289,54.08435826667753,49.35822651304048,1.3326305389404296,30.0,521.9381713867188,0.7602443099021912,0.03958750516176224,1.0629628896713257,0.8616675138473511,1.2824406623840332,-9.404439926147461,-9.434943199157715,-9.372239112854004,1.3812931776046753,1.2159082889556885,1.5520985126495361,0.041331905871629715,0.03301159664988518,0.052092213183641434
011_00015082046,60759.766365591,0.003757515503821196,60759.7626080755,60759.77012310651,tbabs*po,30.619752883911133,38.61975288391113,44.60578312977705,40.04832431248256,1.0558535477210735,29.0,649.2987060546875,0.6083138585090637,0.03178636357188225,1.8240740299224854,1.5203138589859009,2.1573243141174316,-9.38560962677002,-9.434571266174316,-9.32213306427002,1.7252758741378784,1.5214197635650635,1.9371368885040283,0.06061461567878723,0.04577190801501274,0.08120394498109818
012_00015082055,60799.64035139793,0.0020089177996851504,60799.63834248013,60799.64236031573,tbabs*po,14.160923957824707,22.160923957824707,27.03642725729751,24.160923957824707,0.674329712277367,21.0,347.1409912109375,0.3686979413032532,0.0337417796254158,2.5007779598236084,1.6991645097732544,3.3828446865081787,-10.093338966369629,-10.191720962524414,-9.930505752563477,1.7447950839996338,1.330122709274292,2.1784613132476807,0.01207201462239027,0.006593270227313042,0.022569648921489716
013_00015082058,60805.95392920847,0.007153715599997668,60805.94677549286,60805.96108292406,tbabs*po,21.3626651763916,29.3626651763916,34.54601264040892,31.180846994573418,0.9288115294083304,23.0,1236.1619873046875,0.14869026839733124,0.011508900672197342,2.23893141746521,1.5660550594329834,3.0300192832946777,-10.527915000915527,-10.570470809936523,-10.484139442443848,0.9353805184364319,0.617017924785614,1.2725050449371338,0.0017396422335878015,0.0010692243231460452,0.002906134584918618
014_00015082059,60807.12742267,0.003136093007924501,60807.12428657699,60807.130558763005,tbabs*po,18.71649932861328,26.71649932861328,31.428714650005062,28.821762486508018,0.935824966430664,20.0,541.9168701171875,0.18732745945453644,0.01936875656247139,0.18011455237865448,0.0,0.7598682641983032,-10.550124168395996,-10.614619255065918,-10.483562469482422,0.6598874926567078,0.3999894857406616,1.0444929599761963,0.0010868242243304849,0.0007547843852080405,0.0018815348157659173
015_00015082060,60812.310783760084,0.00724039004126098,60812.30354337004,60812.318024150125,tbabs*po,17.8984375,25.8984375,31.227255540700817,27.63756793478261,0.7457682291666666,24.0,1251.1390380859375,0.12950491905212402,0.0110941082239151,2.2990200519561768,1.4543514251708984,3.2841012477874756,-10.615039825439453,-10.669940948486328,-10.540425300598145,1.1672015190124512,0.8006141781806946,1.5539064407348633,0.0019591946620494127,0.0011078169336542487,0.003566032974049449
016_00015082060,60812.376357908404,0.00693690063781105,60812.36942100777,60812.38329480904,tbabs*po,12.396981239318848,20.396981239318848,25.429367391404774,22.301743144080753,0.5634991472417658,22.0,1198.696044921875,0.1170327216386795,0.010929733514785767,1.7996102571487427,1.1268075704574585,2.6271238327026367,-10.661972999572754,-10.719218254089355,-10.581377029418945,1.258430004119873,0.8631840944290161,1.6855626106262207,0.0019743884913623333,0.001113900332711637,0.003665622090920806
017_00015082063,60819.27380275607,0.004653524229070172,60819.26914923184,60819.2784562803,tbabs*po,11.638750076293945,19.638750076293945,24.350965397685727,21.74401323418868,0.5819375038146972,20.0,804.1290283203125,0.13321666419506073,0.013639054261147976,2.2718913555145264,1.523195743560791,3.1966817378997803,-10.642634391784668,-10.755903244018555,-10.43701171875,1.8441179990768433,1.3972382545471191,2.3369572162628174,0.0036745246034115553,0.0019493778236210346,0.007372035179287195
