obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound
000_00015082018,60719.67144427763,0.005615524049062515,60719.66582875358,60719.67705980168,tbabs*po,47.09946823120117,55.09946823120117,61.9537564980184,56.210579342312286,1.272958600843275,37.0,970.3624877929688,7.544043064117432,0.0900835320353508,1.3149363994598389,1.2529572248458862,1.3787403106689453,-9.09024429321289,-9.098944664001465,-9.08121109008789,1.4847440719604492,1.4426082372665405,1.5275442600250244,0.09543292969465256,0.08993448317050934,0.10133183747529984
001_00015082019,60720.650499630596,0.0064162917988142,60720.6440833388,60720.656915922395,tbabs*po,44.751522064208984,52.751522064208984,59.60581033102621,53.8626331753201,1.2095005963299725,37.0,1108.7349853515625,7.650501251220703,0.08500423282384872,1.1396958827972412,1.087528944015503,1.1931785345077515,-9.101600646972656,-9.108818054199219,-9.094226837158203,1.405273675918579,1.3672373294830322,1.4438096284866333,0.08528979122638702,0.08090389519929886,0.08995521813631058
002_00015082020,60721.17632997752,0.0028924397192895412,60721.1734375378,60721.17922241724,tbabs*po,43.088253021240234,51.088253021240234,57.63859766014578,52.300374233361445,1.2673015594482422,34.0,499.8135986328125,7.15242338180542,0.12188825756311417,1.0820634365081787,1.0059784650802612,1.1613483428955078,-9.150774002075195,-9.161398887634277,-9.139863014221191,1.3735936880111694,1.3167005777359009,1.4312584400177002,0.07347732782363892,0.06790262460708618,0.07959972321987152
003_00015082020,60721.245353053615,0.003996369970991509,60721.24135668365,60721.24934942359,tbabs*po,36.40639114379883,44.40639114379883,51.16190896025457,45.549248286655974,1.0112886428833008,36.0,690.5728149414062,6.98945426940918,0.10296210646629333,1.2863833904266357,1.2110121250152588,1.3643691539764404,-9.136540412902832,-9.146577835083008,-9.12612247467041,1.424352765083313,1.3728009462356567,1.4765429496765137,0.08038175851106644,0.07475939393043518,0.08650702983140945
004_00015082020,60722.74414545515,0.0038236833206610754,60722.74032177183,60722.74796913847,tbabs*po,31.150588989257812,39.15058898925781,45.906106805713556,40.29344613211496,0.8652941385904948,36.0,660.7324829101562,7.053277492523193,0.1052372083067894,1.0769779682159424,1.0109226703643799,1.1454106569290161,-9.163132667541504,-9.172662734985352,-9.153347969055176,1.4065842628479004,1.3567177057266235,1.4570403099060059,0.0741313099861145,0.06919687986373901,0.07948461920022964
005_00015082020,60722.8103238293,0.0029145394983061124,60722.8074092898,60722.8132383688,tbabs*po,32.37100601196289,40.37100601196289,46.92135065086843,41.5831272240841,0.9520884121165556,34.0,503.63238525390625,6.844817161560059,0.11869353801012039,1.2854294776916504,1.199984073638916,1.3742661476135254,-9.14797592163086,-9.160822868347168,-9.134387016296387,1.5244940519332886,1.463559865951538,1.586303472518921,0.08705607056617737,0.08000855892896652,0.09484490007162094
006_00015082021,60723.27151927994,0.004908623635856202,60723.2666106563,60723.27642790357,tbabs*po,26.782258987426758,34.78225898742676,41.5377768038825,35.925116130283904,0.7439516385396322,36.0,848.2100830078125,6.274963855743408,0.0882466584444046,1.369680643081665,1.2962335348129272,1.4454574584960938,-9.169278144836426,-9.179478645324707,-9.1586275100708,1.4820241928100586,1.432497501373291,1.5321117639541626,0.0793268159031868,0.07399483025074005,0.08511428534984589
007_00015082022,60724.50586242782,0.005284134225803427,60724.50057829359,60724.51114656204,tbabs*po,51.499229431152344,59.499229431152344,66.35351769796958,60.61034054226346,1.39187106570682,37.0,913.098388671875,6.522897720336914,0.08646432310342789,1.2689567804336548,1.2018141746520996,1.3382092714309692,-9.171857833862305,-9.181068420410156,-9.162311553955078,1.4499142169952393,1.4035279750823975,1.496820330619812,0.0762011781334877,0.07140544801950455,0.08137983828783035
008_00015082023,60725.93691071879,0.004794920525455382,60725.93211579826,60725.941705639314,tbabs*po,41.499916076660156,49.499916076660156,56.2554338931159,50.6427732195173,1.1527754465738933,36.0,828.5623168945312,6.444296836853027,0.09031817317008972,1.2664906978607178,1.1964668035507202,1.3388009071350098,-9.171070098876953,-9.180633544921875,-9.161164283752441,1.4357472658157349,1.386960744857788,1.4850893020629883,0.0751727968454361,0.07020913809537888,0.08055128157138824
009_00015082024,60726.00884536639,0.004392127837490989,60726.00445323856,60726.01323749423,tbabs*po,52.764156341552734,60.764156341552734,67.41840292607132,61.94062692978803,1.5075473240443638,35.0,758.959716796875,4.56549596786499,0.08082058280706406,1.3077600002288818,1.2221109867095947,1.397029161453247,-9.2764310836792,-9.289183616638184,-9.262974739074707,1.513120174407959,1.4520941972732544,1.5750466585159302,0.06401805579662323,0.058832623064517975,0.06975489109754562
010_00015082025,60729.98506036255,0.004562671249004779,60729.98049769131,60729.989623033805,tbabs*po,41.1622428894043,49.1622428894043,55.91776070586004,50.30510003226144,1.143395635816786,36.0,788.4296264648438,6.369509696960449,0.09179724007844925,1.3463510274887085,1.2666102647781372,1.4289389848709106,-9.172411918640137,-9.182784080505371,-9.161571502685547,1.4420727491378784,1.3900930881500244,1.4947330951690674,0.07546090334653854,0.07009097188711166,0.08130575716495514
011_00015082026,60732.85370333835,0.0022007713159837294,60732.85150256703,60732.85590410966,tbabs*po,37.4046745300293,45.4046745300293,51.84834618060619,46.6546745300293,1.1334749857584636,33.0,380.2933044433594,6.091766357421875,0.12867169082164764,1.2422517538070679,1.13164222240448,1.3585392236709595,-9.175589561462402,-9.18991756439209,-9.16048812866211,1.4057087898254395,1.3304252624511719,1.4823603630065918,0.07196493446826935,0.0647057443857193,0.08019302785396576
