telescope,obsid,mjd_obs,mjd_end,phase,cycle,exposure,tbabs_nh,tbabs_nh_lerr,tbabs_nh_uerr,powerlaw_Gamma,powerlaw_Gamma_lerr,powerlaw_Gamma_uerr,log_unabs_flux,log_unabs_flux_lerr,log_unabs_flux_uerr,zxipcf_nh,zxipcf_nh_lerr,zxipcf_nh_uerr,zxipcf_logxi,zxipcf_logxi_lerr,zxipcf_logxi_uerr
SWIFT,00015082023,60725.93212,60725.94172,0.3705,1,828.5623,1.4398,0.0465,0.0472,1.5776,0.012,0.0122,-9.3225,0.0079,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342006,60726.45776,60726.4672,0.5555,1,737.0547,1.4398,0.0465,0.0472,1.5776,0.012,0.0122,-9.3225,0.0079,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342006,60726.63021,60726.65775,0.6163,1,2162.322,1.4398,0.0465,0.0472,1.5776,0.012,0.0122,-9.3225,0.0079,0.0084,5.0491,0.6887,0.7065,2.0916,0.2845,0.1977
NICER,8202630105,60742.83337,60742.83621,0.3216,7,245.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NICER,8202630105,60742.89787,60742.90102,0.3443,7,272.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NICER,8202630105,60742.96237,60742.96366,0.367,7,111.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NICER,8202630105,60742.96384,60742.9656,0.3676,7,152.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60742.98548,60743.02285,0.3752,7,2949.546,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NICER,8202630106,60743.02692,60743.02831,0.3898,7,120.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NICER,8202630106,60743.0285,60743.03045,0.3903,7,169.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60743.05984,60743.08875,0.4014,7,2295.304,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,8.9712,0.3134,0.3154,2.0631,0.0936,0.0854
NICER,8202630106,60743.09137,60743.09527,0.4125,7,337.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,3.1158,0.5369,0.3667,1.7835,0.1879,0.1408
NuSTAR,81002342010,60743.12928,60743.15537,0.4258,7,2060.756,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,1.7599,0.3399,0.4649,2.8407,0.3281,0.3316
NICER,8202630106,60743.15665,60743.16008,0.4354,7,297.0,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60743.19942,60743.22209,0.4505,7,1787.801,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60743.25137,60743.25636,0.4688,7,389.2156,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60743.27165,60743.28872,0.4759,7,1358.534,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,14.4881,0.7024,0.7248,1.8935,0.1223,0.0978
NuSTAR,81002342010,60743.31766,60743.32858,0.4921,7,854.7079,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,0.0,0.0,0.0,0.0,0.0,0.0
NuSTAR,81002342010,60743.34526,60743.34993,0.5019,7,757.7399,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,8.2251,0.7985,0.6267,1.9202,0.1852,0.1761
NuSTAR,81002342010,60743.38437,60743.40011,0.5156,7,1240.514,1.2677,0.015,0.0152,1.5555,0.0041,0.004,-9.386,0.0092,0.0093,5.4065,0.4459,0.4947,2.1007,0.1681,0.163
